,density,humidity_level,Run,Burned Out,Fine,Fire,Humid,height,width
0,0.01,0.1,0,2,100,0,1,100,100
1,0.01,0.1,1,1,107,0,0,100,100
2,0.01,0.1,2,0,103,0,1,100,100
3,0.01,0.1,3,2,98,0,0,100,100
4,0.01,0.1,4,2,88,0,1,100,100
5,0.01,0.1,5,4,94,0,0,100,100
6,0.01,0.1,6,2,95,0,0,100,100
7,0.01,0.1,7,1,87,0,1,100,100
8,0.01,0.1,8,0,89,0,0,100,100
9,0.01,0.1,9,3,95,0,1,100,100
10,0.01,1.0,10,1,0,0,105,100,100
11,0.01,1.0,11,1,24,0,67,100,100
12,0.01,1.0,12,0,0,0,93,100,100
13,0.01,1.0,13,2,6,0,80,100,100
14,0.01,1.0,14,1,0,0,87,100,100
15,0.01,1.0,15,0,0,0,101,100,100
16,0.01,1.0,16,2,0,0,86,100,100
17,0.01,1.0,17,0,0,0,106,100,100
18,0.01,1.0,18,3,7,0,91,100,100
19,0.01,1.0,19,0,23,0,81,100,100
20,0.01,0.01,20,0,106,0,0,100,100
21,0.01,0.01,21,1,102,0,0,100,100
22,0.01,0.01,22,1,109,0,0,100,100
23,0.01,0.01,23,0,99,0,0,100,100
24,0.01,0.01,24,0,93,0,0,100,100
25,0.01,0.01,25,2,97,0,0,100,100
26,0.01,0.01,26,3,105,0,0,100,100
27,0.01,0.01,27,0,99,0,0,100,100
28,0.01,0.01,28,1,107,0,0,100,100
29,0.01,0.01,29,0,106,0,0,100,100
30,1.0,0.1,30,9987,7,0,6,100,100
31,1.0,0.1,31,9981,3,0,16,100,100
32,1.0,0.1,32,9984,4,0,12,100,100
33,1.0,0.1,33,9980,4,0,16,100,100
34,1.0,0.1,34,9986,4,0,10,100,100
35,1.0,0.1,35,9986,1,0,13,100,100
36,1.0,0.1,36,9974,4,0,22,100,100
37,1.0,0.1,37,9964,9,0,27,100,100
38,1.0,0.1,38,9989,3,0,8,100,100
39,1.0,0.1,39,9994,0,0,6,100,100
40,1.0,1.0,40,224,46,0,9730,100,100
41,1.0,1.0,41,251,45,0,9704,100,100
42,1.0,1.0,42,234,49,0,9717,100,100
43,1.0,1.0,43,238,48,0,9714,100,100
44,1.0,1.0,44,225,30,0,9745,100,100
45,1.0,1.0,45,254,58,0,9688,100,100
46,1.0,1.0,46,239,41,0,9720,100,100
47,1.0,1.0,47,195,40,0,9765,100,100
48,1.0,1.0,48,255,46,0,9699,100,100
49,1.0,1.0,49,266,45,0,9689,100,100
50,1.0,0.01,50,10000,0,0,0,100,100
51,1.0,0.01,51,9998,0,0,2,100,100
52,1.0,0.01,52,10000,0,0,0,100,100
53,1.0,0.01,53,10000,0,0,0,100,100
54,1.0,0.01,54,9998,0,0,2,100,100
55,1.0,0.01,55,10000,0,0,0,100,100
56,1.0,0.01,56,10000,0,0,0,100,100
57,1.0,0.01,57,10000,0,0,0,100,100
58,1.0,0.01,58,10000,0,0,0,100,100
59,1.0,0.01,59,10000,0,0,0,100,100
60,0.01,0.1,60,3,89,0,0,100,100
61,0.01,0.1,61,1,106,0,3,100,100
62,0.01,0.1,62,1,116,0,0,100,100
63,0.01,0.1,63,0,118,0,2,100,100
64,0.01,0.1,64,0,91,0,2,100,100
65,0.01,0.1,65,0,96,0,0,100,100
66,0.01,0.1,66,1,98,0,0,100,100
67,0.01,0.1,67,0,87,0,4,100,100
68,0.01,0.1,68,2,113,0,1,100,100
69,0.01,0.1,69,0,106,0,1,100,100
70,0.01,1.0,70,1,0,0,101,100,100
71,0.01,1.0,71,1,2,0,124,100,100
72,0.01,1.0,72,1,0,0,105,100,100
73,0.01,1.0,73,0,0,0,101,100,100
74,0.01,1.0,74,0,4,0,96,100,100
75,0.01,1.0,75,1,0,0,99,100,100
76,0.01,1.0,76,3,0,0,96,100,100
77,0.01,1.0,77,2,4,0,101,100,100
78,0.01,1.0,78,1,0,0,102,100,100
79,0.01,1.0,79,0,10,0,81,100,100
80,0.01,0.01,80,1,118,0,0,100,100
81,0.01,0.01,81,1,96,0,0,100,100
82,0.01,0.01,82,0,110,0,0,100,100
83,0.01,0.01,83,1,104,0,0,100,100
84,0.01,0.01,84,0,103,0,0,100,100
85,0.01,0.01,85,2,93,0,1,100,100
86,0.01,0.01,86,2,100,0,0,100,100
87,0.01,0.01,87,2,90,0,0,100,100
88,0.01,0.01,88,1,108,0,0,100,100
89,0.01,0.01,89,3,100,0,0,100,100
