Step,AgentID,Steps to fire up
6,"(0, 2)",-1
6,"(0, 5)",-1
6,"(0, 6)",-1
6,"(0, 7)",-1
6,"(0, 10)",-1
6,"(0, 11)",-1
6,"(0, 14)",-1
6,"(0, 15)",-1
6,"(0, 16)",-1
6,"(0, 17)",-1
6,"(0, 18)",-1
6,"(0, 19)",-1
6,"(0, 20)",-1
6,"(0, 24)",-1
6,"(0, 27)",-1
6,"(0, 29)",-1
6,"(0, 30)",-1
6,"(0, 31)",-1
6,"(0, 34)",-1
6,"(0, 37)",-1
6,"(0, 38)",-1
6,"(0, 40)",-1
6,"(0, 42)",-1
6,"(0, 44)",-1
6,"(0, 45)",-1
6,"(0, 46)",-1
6,"(0, 47)",-1
6,"(0, 49)",-1
6,"(0, 51)",-1
6,"(0, 52)",-1
6,"(0, 53)",-1
6,"(0, 55)",-1
6,"(0, 57)",-1
6,"(0, 58)",-1
6,"(0, 63)",-1
6,"(0, 66)",-1
6,"(0, 67)",-1
6,"(0, 70)",-1
6,"(0, 72)",-1
6,"(0, 74)",-1
6,"(0, 80)",-1
6,"(0, 81)",-1
6,"(0, 82)",-1
6,"(0, 83)",-1
6,"(0, 86)",-1
6,"(0, 87)",-1
6,"(0, 90)",-1
6,"(0, 91)",-1
6,"(0, 92)",-1
6,"(0, 95)",-1
6,"(0, 96)",-1
6,"(0, 97)",-1
6,"(0, 98)",-1
6,"(0, 99)",-1
6,"(1, 0)",-1
6,"(1, 1)",-1
6,"(1, 4)",-1
6,"(1, 8)",1
6,"(1, 13)",-1
6,"(1, 17)",-1
6,"(1, 19)",1
6,"(1, 21)",2
6,"(1, 23)",-1
6,"(1, 25)",-1
6,"(1, 33)",-1
6,"(1, 34)",1
6,"(1, 36)",-1
6,"(1, 39)",1
6,"(1, 40)",2
6,"(1, 41)",1
6,"(1, 42)",2
6,"(1, 43)",-1
6,"(1, 47)",-1
6,"(1, 48)",-1
6,"(1, 50)",1
6,"(1, 51)",1
6,"(1, 57)",-1
6,"(1, 63)",-1
6,"(1, 64)",-1
6,"(1, 65)",-1
6,"(1, 68)",1
6,"(1, 72)",-1
6,"(1, 75)",-1
6,"(1, 79)",-1
6,"(1, 80)",-1
6,"(1, 82)",-1
6,"(1, 83)",-1
6,"(1, 84)",3
6,"(1, 85)",2
6,"(1, 86)",3
6,"(1, 87)",1
6,"(1, 89)",4
6,"(1, 90)",3
6,"(1, 91)",1
6,"(1, 92)",1
6,"(1, 94)",-1
6,"(1, 96)",1
6,"(1, 97)",1
6,"(2, 0)",-1
6,"(2, 2)",4
6,"(2, 3)",4
6,"(2, 5)",2
6,"(2, 6)",2
6,"(2, 7)",1
6,"(2, 9)",1
6,"(2, 10)",2
6,"(2, 11)",3
6,"(2, 12)",4
6,"(2, 13)",4
6,"(2, 14)",5
6,"(2, 16)",-1
6,"(2, 20)",2
6,"(2, 23)",-1
6,"(2, 26)",-1
6,"(2, 27)",-1
6,"(2, 28)",-1
6,"(2, 32)",3
6,"(2, 33)",2
6,"(2, 38)",2
6,"(2, 40)",2
6,"(2, 41)",2
6,"(2, 46)",-1
6,"(2, 52)",2
6,"(2, 56)",-1
6,"(2, 58)",-1
6,"(2, 60)",-1
6,"(2, 61)",-1
6,"(2, 64)",3
6,"(2, 65)",3
6,"(2, 66)",3
6,"(2, 67)",2
6,"(2, 68)",2
6,"(2, 69)",2
6,"(2, 72)",-1
6,"(2, 76)",-1
6,"(2, 77)",-1
6,"(2, 79)",-1
6,"(2, 82)",3
6,"(2, 83)",3
6,"(2, 86)",2
6,"(2, 87)",2
6,"(2, 89)",3
6,"(2, 90)",2
6,"(2, 92)",2
6,"(2, 97)",2
6,"(2, 98)",2
6,"(3, 0)",-1
6,"(3, 4)",3
6,"(3, 5)",2
6,"(3, 6)",3
6,"(3, 7)",-1
6,"(3, 8)",2
6,"(3, 12)",4
6,"(3, 18)",-1
6,"(3, 23)",-1
6,"(3, 28)",-1
6,"(3, 31)",5
6,"(3, 32)",4
6,"(3, 35)",-1
6,"(3, 36)",-1
6,"(3, 50)",-1
6,"(3, 52)",-1
6,"(3, 54)",-1
6,"(3, 56)",-1
6,"(3, 59)",-1
6,"(3, 60)",-1
6,"(3, 62)",-1
6,"(3, 66)",-1
6,"(3, 73)",-1
6,"(3, 77)",-1
6,"(3, 78)",-1
6,"(3, 81)",-1
6,"(3, 82)",-1
6,"(3, 83)",-1
6,"(3, 86)",-1
6,"(3, 93)",-1
6,"(3, 95)",-1
6,"(3, 96)",-1
6,"(3, 97)",-1
6,"(3, 99)",-1
6,"(4, 1)",-1
6,"(4, 3)",-1
6,"(4, 4)",-1
6,"(4, 9)",-1
6,"(4, 15)",-1
6,"(4, 17)",-1
6,"(4, 19)",-1
6,"(4, 21)",-1
6,"(4, 22)",-1
6,"(4, 26)",-1
6,"(4, 27)",-1
6,"(4, 30)",-1
6,"(4, 33)",-1
6,"(4, 40)",-1
6,"(4, 42)",-1
6,"(4, 44)",-1
6,"(4, 48)",-1
6,"(4, 49)",-1
6,"(4, 50)",-1
6,"(4, 54)",-1
6,"(4, 55)",-1
6,"(4, 60)",-1
6,"(4, 63)",-1
6,"(4, 66)",-1
6,"(4, 68)",-1
6,"(4, 71)",-1
6,"(4, 72)",-1
6,"(4, 73)",-1
6,"(4, 77)",-1
6,"(4, 80)",-1
6,"(4, 84)",-1
6,"(4, 86)",-1
6,"(4, 87)",-1
6,"(4, 92)",-1
6,"(4, 95)",-1
6,"(4, 99)",-1
6,"(5, 1)",-1
6,"(5, 6)",-1
6,"(5, 9)",-1
6,"(5, 12)",-1
6,"(5, 14)",-1
6,"(5, 17)",-1
6,"(5, 18)",-1
6,"(5, 23)",-1
6,"(5, 24)",-1
6,"(5, 25)",-1
6,"(5, 27)",-1
6,"(5, 28)",-1
6,"(5, 34)",-1
6,"(5, 36)",-1
6,"(5, 37)",-1
6,"(5, 38)",-1
6,"(5, 46)",-1
6,"(5, 49)",-1
6,"(5, 50)",-1
6,"(5, 51)",-1
6,"(5, 52)",-1
6,"(5, 53)",-1
6,"(5, 55)",-1
6,"(5, 56)",-1
6,"(5, 58)",-1
6,"(5, 59)",-1
6,"(5, 61)",-1
6,"(5, 62)",-1
6,"(5, 64)",-1
6,"(5, 65)",-1
6,"(5, 66)",-1
6,"(5, 67)",-1
6,"(5, 71)",-1
6,"(5, 74)",-1
6,"(5, 76)",-1
6,"(5, 77)",-1
6,"(5, 78)",-1
6,"(5, 80)",-1
6,"(5, 81)",-1
6,"(5, 87)",-1
6,"(5, 88)",-1
6,"(5, 89)",-1
6,"(5, 92)",-1
6,"(5, 98)",-1
6,"(6, 4)",-1
6,"(6, 7)",-1
6,"(6, 10)",-1
6,"(6, 13)",-1
6,"(6, 17)",-1
6,"(6, 19)",-1
6,"(6, 20)",-1
6,"(6, 22)",-1
6,"(6, 24)",-1
6,"(6, 26)",-1
6,"(6, 28)",-1
6,"(6, 29)",-1
6,"(6, 30)",-1
6,"(6, 31)",-1
6,"(6, 32)",-1
6,"(6, 33)",-1
6,"(6, 37)",-1
6,"(6, 38)",-1
6,"(6, 39)",-1
6,"(6, 42)",-1
6,"(6, 43)",-1
6,"(6, 45)",-1
6,"(6, 47)",-1
6,"(6, 48)",-1
6,"(6, 49)",-1
6,"(6, 53)",-1
6,"(6, 55)",-1
6,"(6, 57)",-1
6,"(6, 58)",-1
6,"(6, 59)",-1
6,"(6, 61)",-1
6,"(6, 70)",-1
6,"(6, 72)",-1
6,"(6, 78)",-1
6,"(6, 83)",-1
6,"(6, 88)",-1
6,"(6, 91)",-1
6,"(6, 92)",-1
6,"(6, 93)",-1
6,"(6, 94)",-1
6,"(6, 95)",-1
6,"(6, 96)",-1
6,"(6, 97)",-1
6,"(6, 99)",-1
6,"(7, 0)",-1
6,"(7, 1)",-1
6,"(7, 2)",-1
6,"(7, 7)",-1
6,"(7, 10)",-1
6,"(7, 11)",-1
6,"(7, 12)",-1
6,"(7, 14)",-1
6,"(7, 16)",-1
6,"(7, 21)",-1
6,"(7, 23)",-1
6,"(7, 25)",-1
6,"(7, 27)",-1
6,"(7, 28)",-1
6,"(7, 29)",-1
6,"(7, 31)",-1
6,"(7, 33)",-1
6,"(7, 36)",-1
6,"(7, 38)",-1
6,"(7, 45)",-1
6,"(7, 47)",-1
6,"(7, 48)",-1
6,"(7, 49)",-1
6,"(7, 53)",-1
6,"(7, 56)",-1
6,"(7, 59)",-1
6,"(7, 60)",-1
6,"(7, 61)",-1
6,"(7, 66)",-1
6,"(7, 68)",-1
6,"(7, 69)",-1
6,"(7, 70)",-1
6,"(7, 71)",-1
6,"(7, 72)",-1
6,"(7, 74)",-1
6,"(7, 75)",-1
6,"(7, 77)",-1
6,"(7, 78)",-1
6,"(7, 79)",-1
6,"(7, 82)",-1
6,"(7, 83)",-1
6,"(7, 86)",-1
6,"(7, 94)",-1
6,"(7, 95)",-1
6,"(7, 96)",-1
6,"(7, 98)",-1
6,"(8, 1)",-1
6,"(8, 5)",-1
6,"(8, 8)",-1
6,"(8, 10)",-1
6,"(8, 12)",-1
6,"(8, 13)",-1
6,"(8, 14)",-1
6,"(8, 15)",-1
6,"(8, 19)",-1
6,"(8, 21)",-1
6,"(8, 23)",-1
6,"(8, 24)",-1
6,"(8, 27)",-1
6,"(8, 31)",-1
6,"(8, 33)",-1
6,"(8, 34)",-1
6,"(8, 36)",-1
6,"(8, 38)",-1
6,"(8, 41)",-1
6,"(8, 42)",-1
6,"(8, 45)",-1
6,"(8, 47)",-1
6,"(8, 48)",-1
6,"(8, 51)",-1
6,"(8, 58)",-1
6,"(8, 59)",-1
6,"(8, 61)",-1
6,"(8, 62)",-1
6,"(8, 63)",-1
6,"(8, 65)",-1
6,"(8, 66)",-1
6,"(8, 67)",-1
6,"(8, 69)",-1
6,"(8, 71)",-1
6,"(8, 73)",-1
6,"(8, 74)",-1
6,"(8, 75)",-1
6,"(8, 76)",-1
6,"(8, 82)",-1
6,"(8, 84)",-1
6,"(8, 89)",-1
6,"(8, 90)",-1
6,"(8, 92)",-1
6,"(8, 93)",-1
6,"(8, 94)",-1
6,"(8, 95)",-1
6,"(8, 98)",-1
6,"(9, 0)",-1
6,"(9, 3)",-1
6,"(9, 6)",-1
6,"(9, 9)",-1
6,"(9, 10)",-1
6,"(9, 11)",-1
6,"(9, 13)",-1
6,"(9, 15)",-1
6,"(9, 17)",-1
6,"(9, 20)",-1
6,"(9, 21)",-1
6,"(9, 22)",-1
6,"(9, 23)",-1
6,"(9, 26)",-1
6,"(9, 28)",-1
6,"(9, 29)",-1
6,"(9, 30)",-1
6,"(9, 33)",-1
6,"(9, 34)",-1
6,"(9, 36)",-1
6,"(9, 38)",-1
6,"(9, 39)",-1
6,"(9, 40)",-1
6,"(9, 41)",-1
6,"(9, 42)",-1
6,"(9, 43)",-1
6,"(9, 46)",-1
6,"(9, 48)",-1
6,"(9, 50)",-1
6,"(9, 51)",-1
6,"(9, 59)",-1
6,"(9, 60)",-1
6,"(9, 63)",-1
6,"(9, 65)",-1
6,"(9, 72)",-1
6,"(9, 74)",-1
6,"(9, 75)",-1
6,"(9, 76)",-1
6,"(9, 77)",-1
6,"(9, 78)",-1
6,"(9, 83)",-1
6,"(9, 84)",-1
6,"(9, 87)",-1
6,"(9, 96)",-1
6,"(9, 99)",-1
6,"(10, 0)",-1
6,"(10, 3)",-1
6,"(10, 4)",-1
6,"(10, 11)",-1
6,"(10, 18)",-1
6,"(10, 27)",-1
6,"(10, 28)",-1
6,"(10, 31)",-1
6,"(10, 34)",-1
6,"(10, 42)",-1
6,"(10, 43)",-1
6,"(10, 44)",-1
6,"(10, 47)",-1
6,"(10, 48)",-1
6,"(10, 50)",-1
6,"(10, 53)",-1
6,"(10, 57)",-1
6,"(10, 58)",-1
6,"(10, 60)",-1
6,"(10, 62)",-1
6,"(10, 63)",-1
6,"(10, 68)",-1
6,"(10, 69)",-1
6,"(10, 70)",-1
6,"(10, 73)",-1
6,"(10, 74)",-1
6,"(10, 76)",-1
6,"(10, 81)",-1
6,"(10, 84)",-1
6,"(10, 85)",-1
6,"(10, 86)",-1
6,"(10, 88)",-1
6,"(10, 89)",-1
6,"(10, 92)",-1
6,"(10, 94)",-1
6,"(10, 98)",-1
6,"(11, 4)",-1
6,"(11, 5)",-1
6,"(11, 7)",-1
6,"(11, 9)",-1
6,"(11, 10)",-1
6,"(11, 12)",-1
6,"(11, 15)",-1
6,"(11, 16)",-1
6,"(11, 18)",-1
6,"(11, 19)",-1
6,"(11, 20)",-1
6,"(11, 22)",-1
6,"(11, 26)",-1
6,"(11, 27)",-1
6,"(11, 28)",-1
6,"(11, 29)",-1
6,"(11, 30)",-1
6,"(11, 31)",-1
6,"(11, 32)",-1
6,"(11, 35)",-1
6,"(11, 36)",-1
6,"(11, 38)",-1
6,"(11, 39)",-1
6,"(11, 40)",-1
6,"(11, 41)",-1
6,"(11, 43)",-1
6,"(11, 44)",-1
6,"(11, 48)",-1
6,"(11, 51)",-1
6,"(11, 54)",-1
6,"(11, 55)",-1
6,"(11, 56)",-1
6,"(11, 64)",-1
6,"(11, 65)",-1
6,"(11, 69)",-1
6,"(11, 70)",-1
6,"(11, 72)",-1
