,Fine,On Fire,Burned Out,Humid,Percent
0,1656,83,0,6373,1.0
1,1659,26,98,6329,0.9878802869156567
2,1652,17,136,6307,0.9831995058678197
3,1648,17,161,6286,0.9801111797405806
4,1644,8,181,6279,0.9776653504442251
5,1639,8,198,6267,0.9755676209279368
6,1634,10,209,6259,0.9742039002715379
7,1631,9,221,6251,0.9727261508083426
8,1629,4,233,6246,0.971262950172669
9,1630,3,238,6241,0.9706498951781971
10,1626,6,241,6239,0.9702689365901801
11,1624,4,250,6234,0.969166255550074
12,1624,4,259,6225,0.9680562407498766
13,1624,2,263,6223,0.9675709001233046
14,1625,1,268,6218,0.9669584514856367
15,1621,4,273,6214,0.9663295510606809
16,1620,3,278,6211,0.9657171044518437
17,1617,4,285,6206,0.9648495313270844
18,1610,6,293,6203,0.9638539353565261
19,1601,11,311,6189,0.9616096778175534
20,1591,9,336,6176,0.9585338763420955
21,1579,10,353,6170,0.956430510984942
22,1576,6,365,6165,0.9549716259560819
23,1575,8,371,6158,0.9542201382033564
24,1572,6,379,6155,0.9532445102393289
25,1569,3,387,6153,0.9522752497225305
26,1566,4,391,6151,0.9517760236803158
27,1562,7,400,6143,0.9506477483035164
28,1556,10,411,6135,0.9492717847445076
29,1554,7,425,6126,0.9475632325724861
30,1551,8,442,6111,0.9454590325765054
31,1537,11,459,6105,0.9433403283545241
32,1539,3,470,6100,0.9420397089653472
33,1534,6,479,6093,0.9409079694053787
34,1534,8,489,6081,0.9396594274432379
35,1526,11,502,6073,0.9380323416862115
36,1519,11,526,6056,0.9350697444759907
37,1504,15,553,6040,0.9317030999135483
38,1492,11,581,6028,0.9282804592025676
39,1480,18,603,6011,0.9255003706449222
40,1468,16,633,5995,0.9218132411067194
41,1457,14,660,5981,0.9184983946653494
42,1451,11,683,5967,0.9156894210591285
43,1435,15,711,5951,0.9121896998888477
44,1431,12,738,5931,0.9088888888888889
45,1425,14,754,5919,0.9068905902692023
46,1427,7,773,5905,0.9046267735965453
47,1425,6,780,5901,0.9037749814951888
48,1422,8,792,5890,0.9022704837117473
49,1410,12,811,5879,0.8998765432098765
50,1404,11,829,5868,0.897666954696951
51,1394,12,847,5859,0.8954320987654321
52,1385,9,871,5847,0.8925089473034679
53,1376,15,889,5832,0.8902062492281092
54,1353,24,914,5821,0.8869930761622157
55,1338,17,948,5809,0.8828906732550957
56,1335,14,974,5789,0.8797233884909854
57,1326,13,1001,5772,0.8764044943820225
58,1325,10,1020,5757,0.8741051592199457
59,1324,5,1039,5744,0.8718391513506846
60,1319,4,1047,5742,0.8708682782437099
61,1314,7,1051,5740,0.8703269586674892
62,1316,5,1061,5730,0.8691254471444431
63,1311,5,1074,5722,0.8675218946589367
64,1308,6,1082,5716,0.8665186281766593
65,1304,6,1092,5710,0.8652849740932642
66,1305,3,1102,5702,0.8641016154889629
67,1306,1,1105,5700,0.8637652570583159
68,1306,1,1106,5699,0.8636419676981877
69,1302,3,1110,5697,0.8631150573436922
70,1297,5,1116,5694,0.8623411866288393
71,1285,6,1130,5691,0.8605970885763632
72,1284,4,1137,5687,0.8597681302417366
73,1281,5,1145,5681,0.8587640310842481
74,1280,3,1153,5676,0.8578123073128623
75,1280,0,1158,5674,0.8572485207100592
